Model Outputs
100
,,RGQ:CentreOfMass,,,RGQ:CentreOfMassFloor,,,RGQ:HED,,,,,,,,,RGQ:LAbsAnkleAngle,,,RGQ:LAnkleAngles,,,RGQ:LCL,,,,,,,,,RGQ:LElbowAngles,,,RGQ:LFE,,,,,,,,,RGQ:LFO,,,,,,,,,RGQ:LFootProgressAngles,,,RGQ:LHN,,,,,,,,,RGQ:LHU,,,,,,,,,RGQ:LHeadAngles,,,RGQ:LHipAngles,,,RGQ:LKneeAngles,,,RGQ:LNeckAngles,,,RGQ:LPelvisAngles,,,RGQ:LRA,,,,,,,,,RGQ:LShoulderAngles,,,RGQ:LSpineAngles,,,RGQ:LTI,,,,,,,,,RGQ:LTO,,,,,,,,,RGQ:LThoraxAngles,,,RGQ:LWristAngles,,,RGQ:PEL,,,,,,,,,RGQ:RAbsAnkleAngle,,,RGQ:RAnkleAngles,,,RGQ:RCL,,,,,,,,,RGQ:RElbowAngles,,,RGQ:RFE,,,,,,,,,RGQ:RFO,,,,,,,,,RGQ:RFootProgressAngles,,,RGQ:RHN,,,,,,,,,RGQ:RHU,,,,,,,,,RGQ:RHeadAngles,,,RGQ:RHipAngles,,,RGQ:RKneeAngles,,,RGQ:RNeckAngles,,,RGQ:RPelvisAngles,,,RGQ:RRA,,,,,,,,,RGQ:RShoulderAngles,,,RGQ:RSpineAngles,,,RGQ:RTI,,,,,,,,,RGQ:RTO,,,,,,,,,RGQ:RThoraxAngles,,,RGQ:RWristAngles,,,RGQ:TRX,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
129,0,141.643,-406.196,956.162,141.643,-406.196,0,1.60225,-12.7378,76.9463,136.201,-335.302,1517.33,209.152,209.152,209.152,9.92694,0,0,9.92961,0.351581,-1.32337,45.8872,73.4023,65.4072,-30.8968,-311.949,1323.93,214.658,214.657,214.658,68.7985,3.18055e-015,2.73528e-013,3.87302,31.1451,74.8014,27.4537,-573.842,483.725,433.073,433.073,433.073,48.3023,-44.9778,79.3385,-6.03864,-705.39,66.2717,234.558,234.558,234.558,-60.1541,-2.33273,-1.01325,-8.95782,-97.3964,104.575,215.107,-108.387,957.698,159.96,159.96,159.96,12.56,10.8516,208.047,-50.7508,-340.541,1100.05,226.57,226.57,226.57,8.58278,-8.26039,12.1375,6.99187,-26.0031,-2.90027,21.6395,24.4104,0.440173,-30.9404,2.0492,4.08357,28.53,0.593774,11.6349,-105.868,-20.9616,176.581,136.749,-245.476,983.267,223.648,223.649,223.648,11.6954,8.35958,40.5887,-6.91723,-2.80864,-6.79002,-29.5912,32.6162,85.3692,12.78,-842.302,161.698,400.296,400.296,400.296,48.3022,-44.9778,79.3386,-7.42126,-637.585,27.367,78.1861,78.1861,78.1861,21.0802,1.05201,18.7019,20.7401,31.3866,108.231,-23.4995,19.9644,76.4846,167.524,-457.12,858.378,82.3653,82.3653,82.3653,10.4138,0,0,10.4178,0.591822,-1.5696,-87.3674,-24.6217,47.2769,320.766,-421.663,1349.6,198.761,198.761,198.761,79.8119,1.59028e-015,2.94519e-012,-0.0855555,-32.9355,75.753,279.665,-327.425,523.266,384.813,384.813,384.813,47.5585,-70.3249,65.7815,335.772,-335.955,85.4907,234.172,234.172,234.172,-78.7139,-2.63924,-15.8136,76.3146,-33.9963,15.9931,382.882,-160.699,982.924,188.36,188.36,188.36,-12.9057,-28.4298,-73.3321,373.234,-520.088,1149.01,229.516,229.516,229.516,8.58278,8.26039,-12.1375,51.5661,-14.7714,0.29839,46.2861,11.9068,7.67453,-30.9404,-2.0492,-4.08357,28.53,-0.593774,-11.6349,37.5982,39.9318,-65.3202,336.917,-341.999,1005.22,215.53,215.53,215.53,-0.129845,15.1218,31.1326,-6.91723,2.80864,6.79002,-18.2394,14.978,74.5258,275.136,-485.745,130.194,404.571,404.571,404.571,47.5585,-70.3249,65.7815,357.043,-262.304,70.7924,78.0572,78.0572,78.0572,21.0802,-1.05201,-18.7019,27.1178,29.4767,112.56,132.149,94.4394,-18.8253,178.918,-282.722,1358.59,206.709,206.709,206.709
130,0,143.938,-391.749,960.269,143.938,-391.749,0,1.80572,-12.884,76.7346,139.908,-321.533,1521.29,209.152,209.152,209.152,7.37766,0,0,7.37807,0.416481,0.604242,46.4509,72.9957,64.799,-27.2887,-294.886,1328.52,214.559,214.559,214.559,69.1568,0,5.13978e-012,2.99904,32.0492,74.6795,27.8516,-567.521,489.25,434.512,434.512,434.513,46.509,-42.9426,79.7983,-5.69414,-702.974,65.4492,234.558,234.558,234.558,-57.6902,-2.62865,-1.06723,-10.1844,-97.6735,103.308,224.014,-94.1192,966.366,159.996,159.996,159.996,12.3018,10.3216,207.103,-47.2424,-322.25,1104.82,226.248,226.249,226.248,8.80508,-8.26598,12.3252,5.97431,-26.0932,-2.94759,20.2919,24.4521,-1.80059,-31.1585,2.16475,4.54284,28.7048,0.371783,11.4375,-106.109,-20.3447,175.351,142.462,-229.703,990.134,223.406,223.406,223.406,11.8917,8.36585,40.9011,-6.96405,-3.41245,-7.57154,-29.1267,33.1632,87.204,13.3564,-835.684,166.593,400.584,400.584,400.584,46.5089,-42.9426,79.7983,-7.15042,-636.904,23.6663,78.1861,78.1861,78.1861,21.009,1.30641,19.3296,20.8813,31.113,108.382,-23.772,19.9526,76.7105,169.266,-442.545,862.263,82.3654,82.3653,82.3653,9.47148,0,0,9.4726,0.744703,0.876968,-87.4163,-24.075,46.6095,322.709,-409.397,1353.94,198.58,198.58,198.58,80.4045,0,1.35969e-012,-0.222196,-32.5778,76.0724,279.31,-315.147,527.416,383.03,383.03,383.03,50.5595,-71.8502,66.5174,337.762,-295.093,89.0979,234.172,234.172,234.172,-81.4164,-3.66463,-13.8489,76.234,-34.831,15.1423,390.862,-149.937,989.974,188.467,188.467,188.467,-13.199,-28.8672,-74.2021,374.765,-509.685,1154.28,229.415,229.415,229.415,8.80508,8.26598,-12.3252,51.2957,-14.5874,0.184773,42.204,12.3247,5.92764,-31.1585,-2.16475,-4.54284,28.7048,-0.371783,-11.4375,38.2547,39.721,-65.9502,341.527,-330.578,1011.3,215.368,215.368,215.368,-0.472888,15.4692,30.8671,-6.96405,3.41245,7.57154,-15.9819,11.7278,74.3737,282.247,-448.771,126.693,403.214,403.214,403.214,50.5595,-71.8503,66.5174,356.446,-220.154,77.7863,78.0572,78.0572,78.0571,21.009,-1.30641,-19.3296,27.0862,29.6717,112.455,132.8,93.7291,-18.9431,182.868,-268.693,1362.92,206.569,206.569,206.569
131,0,146.265,-377.123,964.297,146.265,-377.123,0,2.05158,-13.0477,76.5645,143.868,-307.68,1525.11,209.152,209.152,209.152,4.64562,0,0,4.64961,0.476007,2.37115,47.0033,72.6787,64.2645,-23.4916,-277.958,1333.23,214.436,214.436,214.436,69.4961,0,-3.67354e-012,2.15414,32.9213,74.5689,28.3097,-560.484,494.708,435.901,435.901,435.901,44.5238,-40.7754,80.5124,-5.38633,-700.929,64.4599,234.558,234.558,234.558,-54.9852,-2.71348,-1.20689,-11.389,-97.751,102.096,232.47,-80.2659,974.261,160.059,160.059,160.059,12.2417,9.78216,206.161,-43.9325,-304.161,1109.71,225.975,225.975,225.975,9.07085,-8.25628,12.468,4.99071,-26.1682,-2.96774,19.0566,24.4938,-3.89063,-31.4055,2.29213,4.93565,28.8553,0.161972,11.2065,-106.152,-19.7474,174.247,147.716,-214.186,996.644,223.219,223.219,223.218,12.0468,8.42619,41.2872,-6.99583,-3.99816,-8.27332,-28.7348,33.7138,88.9348,14.0909,-828.693,171.708,400.868,400.868,400.868,44.5238,-40.7754,80.5123,-7.03314,-636.908,19.6076,78.1861,78.1861,78.1861,20.9258,1.57163,19.8445,20.9436,30.7857,108.436,-24.0119,19.9433,76.9694,170.969,-427.542,865.985,82.3653,82.3653,82.3653,8.63043,0,0,8.64351,0.886395,3.14183,-87.4179,-23.5784,46.0554,324.967,-396.607,1358.04,198.36,198.36,198.36,80.8919,0,-4.12677e-012,-0.428364,-32.1344,76.3761,278.976,-303.002,530.952,381.528,381.528,381.528,53.3957,-73.4097,67.1423,339.529,-255.832,93.9575,234.172,234.172,234.172,-84.0125,-4.6062,-12.0171,76.0511,-35.5145,14.3256,398.272,-139.053,995.863,188.59,188.589,188.59,-13.5487,-29.2397,-74.9614,376.402,-498.756,1159.22,229.363,229.363,229.363,9.07085,8.25628,-12.468,50.8981,-14.4423,0.0304759,38.1839,12.6501,4.22292,-31.4055,-2.29213,-4.93565,28.8553,-0.161972,-11.2065,38.7428,39.5094,-66.5647,345.837,-319.005,1016.7,215.227,215.227,215.227,-0.857302,15.7831,30.6198,-6.99583,3.99816,8.27332,-13.7845,8.67103,74.1691,288.853,-412.72,124.458,401.945,401.946,401.945,53.3957,-73.4097,67.1423,355.781,-179.902,85.9937,78.0572,78.0572,78.0572,20.9258,-1.57163,-19.8445,27.0297,29.868,112.317,133.377,93.158,-19.0918,186.932,-254.446,1367.17,206.398,206.398,206.398
132,0,148.624,-362.337,968.152,148.624,-362.337,0,2.34234,-13.2304,76.4396,148.071,-293.775,1528.68,209.152,209.152,209.152,1.8096,0,0,1.81372,0.526478,3.86589,47.5498,72.4492,63.8065,-19.5324,-261.189,1337.95,214.289,214.289,214.289,69.817,3.18055e-015,-4.5148e-012,1.33996,33.752,74.4532,28.8589,-552.71,499.945,437.25,437.25,437.25,42.3894,-38.5019,81.4527,-5.10683,-699.362,63.473,234.558,234.558,234.558,-52.0893,-2.58891,-1.42429,-12.5529,-97.6413,100.961,240.434,-66.7583,981.289,160.157,160.157,160.157,12.3635,9.24506,205.235,-40.812,-286.309,1114.62,225.743,225.743,225.743,9.38291,-8.23031,12.562,4.04188,-26.2317,-2.95448,17.9673,24.5367,-5.73272,-31.6793,2.43629,5.27049,28.978,-0.0368102,10.9572,-106.02,-19.1769,173.273,152.521,-198.904,1002.72,223.085,223.085,223.085,12.1558,8.52532,41.7328,-7.01582,-4.57011,-8.88459,-28.4546,34.265,90.4568,14.9692,-821.464,177.021,401.147,401.147,401.147,42.3894,-38.5019,81.4528,-7.05023,-637.694,15.4478,78.1861,78.1861,78.1861,20.8255,1.8506,20.2513,20.9275,30.4181,108.395,-24.2193,19.9295,77.2469,172.663,-412.15,869.443,82.3653,82.3653,82.3653,7.95366,0,0,7.98527,1.00829,5.08273,-87.3706,-23.1368,45.6158,327.543,-383.318,1361.79,198.101,198.101,198.101,81.2794,0,5.13819e-012,-0.680545,-31.6487,76.6641,278.777,-290.761,533.912,380.308,380.308,380.308,55.9886,-74.9941,67.5615,341.157,-218.757,99.8528,234.172,234.172,234.172,-86.4829,-5.42961,-10.4258,75.8024,-36.0406,13.5807,404.992,-127.962,1000.58,188.723,188.723,188.723,-13.9491,-29.547,-75.6026,378.177,-487.306,1163.74,229.354,229.354,229.354,9.38291,8.23031,-12.562,50.4184,-14.3304,-0.144402,34.3764,12.9125,2.64005,-31.6793,-2.43629,-5.27049,28.978,0.0368102,-10.9572,39.0637,39.3068,-67.156,349.841,-307.248,1021.34,215.109,215.109,215.109,-1.28071,16.0714,30.4026,-7.01582,4.57011,8.88459,-11.6981,5.90428,73.9535,294.726,-378.136,123.406,400.793,400.793,400.793,55.9886,-74.9941,67.5614,355.283,-142.133,95.1433,78.0572,78.0572,78.0571,20.8255,-1.8506,-20.2513,26.9789,30.0409,112.177,133.89,92.7248,-19.2704,191.094,-240.011,1371.23,206.195,206.195,206.195
133,0,151.018,-347.413,971.735,151.018,-347.413,0,2.68023,-13.4327,76.3618,152.508,-279.844,1531.92,209.152,209.152,209.152,-1.02982,0,0,-1.03376,0.565083,5.00578,48.0969,72.3031,63.4256,-15.4397,-244.597,1342.57,214.119,214.119,214.119,70.12,0,4.42256e-012,0.560668,34.5314,74.3173,29.5269,-544.173,504.813,438.568,438.568,438.568,40.1691,-36.1568,82.5517,-4.83576,-698.279,62.6956,234.558,234.558,234.558,-49.0768,-2.29258,-1.70139,-13.6545,-97.3602,99.9269,247.862,-53.5272,987.373,160.293,160.293,160.293,12.6493,8.72368,204.339,-37.8696,-268.721,1119.45,225.546,225.546,225.546,9.74342,-8.18688,12.605,3.13091,-26.287,-2.90343,17.0576,24.5811,-7.24727,-31.9775,2.60182,5.5581,29.0704,-0.224385,10.7047,-105.739,-18.6374,172.431,156.893,-183.842,1008.27,223.002,223.002,223.002,12.2137,8.64737,42.2222,-7.02769,-5.13245,-9.3976,-28.3191,34.8189,91.6833,15.9678,-814.119,182.502,401.429,401.429,401.429,40.1691,-36.1568,82.5517,-7.15715,-639.229,11.5025,78.1861,78.1862,78.1861,20.7034,2.14651,20.5583,20.8354,30.0274,108.264,-24.3938,19.9057,77.5285,174.38,-396.415,872.542,82.3653,82.3653,82.3653,7.47023,0,0,7.52037,1.10413,6.60069,-87.274,-22.7531,45.2893,330.434,-369.568,1365.09,197.807,197.807,197.807,81.574,-1.59028e-015,2.47606e-012,-0.956385,-31.1639,76.9377,278.826,-278.209,536.334,379.357,379.357,379.357,58.2603,-76.5593,67.7124,342.724,-184.378,106.373,234.172,234.172,234.172,-88.7825,-6.10373,-9.1594,75.5228,-36.4103,12.9479,410.919,-116.575,1004.15,188.865,188.865,188.865,-14.3911,-29.7901,-76.1183,380.122,-475.346,1167.72,229.382,229.382,229.382,9.74342,8.18688,-12.605,49.9019,-14.2479,-0.317591,30.9245,13.1476,1.2365,-31.9775,-2.60182,-5.5581,29.0704,0.224385,-10.7047,39.222,39.1226,-67.7136,353.54,-295.283,1025.15,215.016,215.017,215.016,-1.73745,16.3443,30.2287,-7.02769,5.13245,9.3976,-9.77918,3.51152,73.7574,299.694,-345.539,123.336,399.759,399.759,399.759,58.2603,-76.5593,67.7125,355.149,-107.333,104.735,78.0571,78.0572,78.0571,20.7034,-2.14651,-20.5583,26.9619,30.1684,112.073,134.352,92.4233,-19.4771,195.341,-225.418,1374.99,205.963,205.963,205.963
134,0,153.45,-332.37,974.949,153.45,-332.37,0,3.06733,-13.6552,76.3317,157.165,-265.913,1534.71,209.152,209.152,209.152,-3.76396,0,0,-3.78302,0.590316,5.74874,48.6505,72.2341,63.1199,-11.2429,-228.19,1346.98,213.933,213.933,213.933,70.406,3.18055e-015,-4.59113e-012,-0.176324,35.2493,74.1501,30.3355,-534.835,509.172,439.849,439.849,439.849,37.9368,-33.781,83.7145,-4.55399,-697.587,62.3255,234.558,234.558,234.558,-46.0337,-1.89098,-2.01539,-14.6723,-96.9274,99.0126,254.71,-40.5076,992.448,160.46,160.46,160.46,13.0804,8.23111,203.48,-35.0933,-251.423,1124.08,225.377,225.377,225.377,10.154,-8.1246,12.5963,2.26343,-26.3367,-2.81273,16.36,24.6267,-8.38142,-32.2975,2.79171,5.80975,29.1304,-0.399315,10.4632,-105.333,-18.1301,171.721,160.853,-168.986,1013.23,222.964,222.964,222.964,12.216,8.77779,42.7403,-7.03479,-5.68778,-9.80774,-28.3513,35.3832,92.556,17.0561,-806.745,188.114,401.726,401.726,401.726,37.9368,-33.781,83.7145,-7.30364,-641.348,8.07953,78.1861,78.1862,78.1862,20.5555,2.46183,20.7755,20.6722,29.6326,108.054,-24.5345,19.8677,77.8004,176.154,-380.388,875.196,82.3653,82.3653,82.3653,7.1729,0,0,7.2377,1.17082,7.65166,-87.1272,-22.4277,45.072,333.626,-355.405,1367.84,197.481,197.481,197.481,81.7834,-7.95139e-016,-1.81928e-012,-1.23582,-30.717,77.2003,279.217,-265.173,538.25,378.654,378.654,378.654,60.1421,-78.0279,67.5782,344.29,-153.096,112.95,234.172,234.172,234.172,-90.8415,-6.60412,-8.26765,75.2352,-36.6343,12.4574,415.998,-104.826,1006.56,189.012,189.012,189.012,-14.8634,-29.9709,-76.5027,382.269,-462.896,1171.06,229.44,229.44,229.44,10.154,8.1246,-12.5963,49.3887,-14.1916,-0.467136,27.9509,13.3877,0.0445804,-32.2975,-2.79171,-5.80975,29.1304,0.399315,-10.4632,39.2261,38.9661,-68.2248,356.937,-283.083,1028.05,214.957,214.957,214.957,-2.21892,16.6123,30.1118,-7.03479,5.68778,9.80774,-8.08496,1.55728,73.5984,303.662,-315.393,123.955,398.831,398.831,398.831,60.1421,-78.028,67.5782,355.514,-75.858,114.084,78.0572,78.0572,78.0572,20.5555,-2.46183,-20.7755,26.9931,30.2423,112.032,134.776,92.245,-19.7099,199.654,-210.699,1378.35,205.707,205.707,205.707
135,0,155.924,-317.227,977.7,155.924,-317.227,0,3.50503,-13.8981,76.3484,162.03,-251.999,1536.97,209.152,209.152,209.152,-6.29379,0,0,-6.32971,0.60211,6.09533,49.2154,72.2348,62.8854,-6.97045,-211.973,1351.07,213.735,213.735,213.735,70.6761,-3.18055e-015,5.15727e-012,-0.860651,35.8952,73.9465,31.3025,-524.652,512.893,441.083,441.083,441.083,35.76,-31.4156,84.8403,-4.24848,-697.114,62.5058,234.558,234.558,234.558,-43.042,-1.46335,-2.34304,-15.5859,-96.3668,98.2315,260.937,-27.6414,996.474,160.648,160.648,160.648,13.6391,7.77928,202.668,-32.4726,-234.433,1128.41,225.233,225.233,225.233,10.6156,-8.04239,12.5371,1.44757,-26.3827,-2.68358,15.9056,24.672,-9.10992,-32.6375,3.00693,6.03555,29.1562,-0.559592,10.2439,-104.825,-17.655,171.14,164.42,-154.326,1017.53,222.966,222.967,222.966,12.1595,8.9048,43.2735,-7.03936,-6.23659,-10.1136,-28.5643,35.9704,93.0484,18.1994,-799.389,193.811,402.055,402.055,402.055,35.76,-31.4156,84.8403,-7.44491,-643.794,5.41094,78.1861,78.1861,78.1861,20.3795,2.79772,20.9133,20.4472,29.2519,107.779,-24.6398,19.8126,78.0509,178.013,-364.118,877.326,82.3653,82.3653,82.3653,7.02415,0,0,7.09785,1.20852,8.24351,-86.9305,-22.1579,44.958,337.097,-340.884,1369.92,197.135,197.135,197.135,81.9166,0,4.54342e-012,-1.5009,-30.3335,77.4562,279.996,-251.53,539.67,378.167,378.167,378.167,61.5815,-79.3001,67.1943,345.885,-125.185,118.933,234.172,234.172,234.172,-92.5709,-6.91728,-7.75921,74.9444,-36.7305,12.1132,420.256,-92.6896,1007.81,189.153,189.153,189.153,-15.3521,-30.091,-76.7509,384.643,-449.979,1173.66,229.525,229.525,229.525,10.6156,8.04239,-12.5371,48.9087,-14.1562,-0.574252,25.5488,13.6503,-0.920721,-32.6375,-3.00693,-6.03555,29.1562,0.559592,-10.2439,39.0876,38.8467,-68.6754,360.037,-270.623,1029.99,214.936,214.936,214.936,-2.7138,16.8846,30.0642,-7.03936,6.23659,10.1136,-6.67089,0.0823404,73.4878,306.625,-288.081,124.927,397.989,397.989,397.989,61.5815,-79.3001,67.1943,356.424,-47.9208,122.402,78.0571,78.0572,78.0572,20.3795,-2.79772,-20.9133,27.0633,30.277,112.062,135.171,92.1793,-19.9658,204.018,-195.884,1381.2,205.435,205.435,205.435
136,0,158.441,-302.005,979.904,158.441,-302.005,0,3.99425,-14.1611,76.409,167.086,-238.115,1538.63,209.152,209.152,209.152,-8.54558,0,0,-8.59429,0.601626,6.08112,49.7936,72.297,62.7166,-2.65029,-195.947,1354.73,213.536,213.536,213.536,70.9315,-3.18055e-015,8.71472e-013,-1.48008,36.4587,73.7084,32.446,-513.565,515.858,442.255,442.255,442.255,33.6867,-29.0956,85.8435,-3.91584,-696.664,63.2995,234.558,234.558,234.559,-40.1629,-1.08324,-2.66511,-16.3778,-95.7073,97.5889,266.509,-14.8778,999.431,160.84,160.84,160.84,14.3091,7.37841,201.908,-29.9992,-217.769,1132.36,225.111,225.111,225.111,11.1282,-7.93928,12.4301,0.693622,-26.4259,-2.51975,15.7237,24.7131,-9.43229,-32.9965,3.2457,6.24353,29.1459,-0.703549,10.0549,-104.236,-17.2111,170.685,167.612,-139.854,1021.11,223.002,223.002,223.002,12.0426,9.02015,43.81,-7.04164,-6.77734,-10.3172,-28.9612,36.5963,93.1634,19.3646,-792.055,199.548,402.428,402.428,402.428,33.6867,-29.0956,85.8436,-7.55135,-646.291,3.6132,78.1861,78.1861,78.1861,20.1751,3.15363,20.9819,20.1742,28.902,107.456,-24.708,19.7381,78.2723,179.983,-347.651,878.873,82.3653,82.3653,82.3653,6.96671,0,0,7.04305,1.21989,8.42174,-86.6844,-21.9392,44.9401,340.821,-326.063,1371.27,196.779,196.779,196.779,81.9829,-1.59028e-015,-1.73817e-012,-1.73486,-30.0249,77.71,281.15,-237.208,540.582,377.857,377.857,377.857,62.546,-80.269,66.647,347.5,-100.798,123.669,234.172,234.172,234.171,-93.873,-7.04335,-7.60075,74.6423,-36.7125,11.8891,423.78,-80.1781,1007.85,189.273,189.273,189.273,-15.8421,-30.1519,-76.8599,387.266,-436.623,1175.43,229.638,229.638,229.638,11.1282,7.93928,-12.4301,48.4804,-14.1325,-0.626305,23.7791,13.9319,-1.6474,-32.9965,-3.2457,-6.24353,29.1459,0.703549,-10.0549,38.8208,38.7737,-69.0509,362.848,-257.881,1030.94,214.959,214.958,214.958,-3.20847,17.1676,30.0957,-7.04164,6.77734,10.3172,-5.58856,-0.898038,73.4394,308.66,-263.889,125.916,397.222,397.222,397.221,62.5459,-80.269,66.647,357.824,-23.6036,128.895,78.0572,78.0572,78.0572,20.1751,-3.15363,-20.9819,27.1429,30.3026,112.139,135.545,92.2151,-20.2418,208.414,-181.005,1383.47,205.157,205.157,205.157
137,0,160.998,-286.72,981.491,160.998,-286.72,0,4.53483,-14.4438,76.5095,172.314,-224.268,1539.63,209.152,209.152,209.152,-10.4802,0,0,-10.534,0.590706,5.76021,50.3843,72.4125,62.6061,1.69156,-180.111,1357.88,213.344,213.344,213.344,71.1727,0,-4.79151e-012,-2.02224,36.9282,73.4448,33.7916,-501.514,517.961,443.346,443.346,443.346,31.7403,-26.84,86.6686,-3.5691,-696.06,64.6922,234.558,234.558,234.558,-37.428,-0.805266,-2.97198,-17.0337,-94.9796,97.0819,271.401,-2.17317,1001.32,161.021,161.021,161.021,15.0754,7.03618,201.204,-27.6667,-201.443,1135.82,225.012,225.012,225.012,11.6909,-7.81468,12.2798,0.0138685,-26.4658,-2.32684,15.8421,24.7419,-9.36642,-33.3745,3.50382,6.43917,29.0974,-0.830913,9.90008,-103.582,-16.7972,170.353,170.445,-125.565,1023.91,223.064,223.064,223.064,11.8655,9.11926,44.3397,-7.03944,-7.30732,-10.4238,-29.5373,37.2789,92.926,20.5255,-784.707,205.285,402.854,402.854,402.854,31.7403,-26.84,86.6686,-7.62286,-648.605,2.68675,78.1861,78.1861,78.1861,19.9446,3.52733,20.9899,19.8717,28.5958,107.107,-24.7377,19.6417,78.4607,182.075,-331.025,879.793,82.3653,82.3653,82.3653,6.93887,0,0,7.01184,1.20908,8.2523,-86.3904,-21.7642,45.0109,344.766,-311.005,1371.82,196.429,196.429,196.429,81.9916,-1.59028e-015,-2.49515e-012,-1.9211,-29.7898,77.9649,282.603,-222.182,540.964,377.682,377.682,377.682,63.0272,-80.8414,66.0601,349.08,-79.974,126.6,234.172,234.172,234.172,-94.6569,-6.99682,-7.72214,74.3199,-36.5814,11.7407,426.67,-67.3213,1006.64,189.361,189.361,189.361,-16.3174,-30.1548,-76.8277,390.158,-422.857,1176.3,229.781,229.781,229.781,11.6909,7.81468,-12.2798,48.111,-14.1063,-0.619221,22.6723,14.2059,-2.11511,-33.3745,-3.50382,-6.43917,29.0974,0.830913,-9.90008,38.4418,38.7557,-69.3366,365.379,-244.845,1030.86,215.023,215.023,215.023,-3.68751,17.4654,30.2139,-7.03944,7.30732,10.4238,-4.88379,-1.39253,73.4768,309.907,-243,126.636,396.536,396.536,396.536,63.0273,-80.8414,66.0602,359.569,-2.87999,132.88,78.0571,78.0572,78.0572,19.9446,-3.52733,-20.9899,27.1935,30.3514,112.215,135.903,92.3416,-20.5343,212.829,-166.089,1385.09,204.886,204.886,204.886
