Model Outputs
100
,,HJX:CentreOfMass,,,HJX:CentreOfMassFloor,,,HJX:HED,,,,,,,,,HJX:LAbsAnkleAngle,,,HJX:LAnkleAngles,,,HJX:LCL,,,,,,,,,HJX:LElbowAngles,,,HJX:LFE,,,,,,,,,HJX:LFO,,,,,,,,,HJX:LFootProgressAngles,,,HJX:LHN,,,,,,,,,HJX:LHU,,,,,,,,,HJX:LHeadAngles,,,HJX:LHipAngles,,,HJX:LKneeAngles,,,HJX:LNeckAngles,,,HJX:LPelvisAngles,,,HJX:LRA,,,,,,,,,HJX:LShoulderAngles,,,HJX:LSpineAngles,,,HJX:LTI,,,,,,,,,HJX:LTO,,,,,,,,,HJX:LThoraxAngles,,,HJX:LWristAngles,,,HJX:PEL,,,,,,,,,HJX:RAbsAnkleAngle,,,HJX:RAnkleAngles,,,HJX:RCL,,,,,,,,,HJX:RElbowAngles,,,HJX:RFE,,,,,,,,,HJX:RFO,,,,,,,,,HJX:RFootProgressAngles,,,HJX:RHN,,,,,,,,,HJX:RHU,,,,,,,,,HJX:RHeadAngles,,,HJX:RHipAngles,,,HJX:RKneeAngles,,,HJX:RNeckAngles,,,HJX:RPelvisAngles,,,HJX:RRA,,,,,,,,,HJX:RShoulderAngles,,,HJX:RSpineAngles,,,HJX:RTI,,,,,,,,,HJX:RTO,,,,,,,,,HJX:RThoraxAngles,,,HJX:RWristAngles,,,HJX:TRX,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0,0,0,0,0,0,27.398,-20.207,87.3051,201.026,894.112,1574.67,201.728,201.728,201.728,-2.98494,0,0,-3.94548,-3.35629,40.8163,68.1977,90.0287,86.3579,42.12,922.003,1459.08,180.377,180.377,180.377,17.9812,1.49089e-016,6.79049e-013,4.50185,19.6045,84.7546,63.5762,933.987,502.993,548.131,548.131,548.13,60.0068,-62.4427,84.2168,46.3793,1044.69,83.2343,258.305,258.305,258.305,-77.0801,8.01086,-4.56707,3.23512,-45.9136,118.635,16.729,1163.15,748.21,205.619,205.619,205.619,24.0517,-21.3463,188.445,-44.2927,984.613,1153.95,323.253,323.253,323.253,30.4698,4.29137,1.51385,-7.72952,-14.5185,0.0375588,-0.555202,17.637,-48.7444,-27.9133,-7.40111,3.62078,2.41184,0.900754,3.15092,-5.6197,-23.6979,187.458,-34.5021,1047.96,910.645,233.995,233.995,233.995,7.75426,18.9945,75.0019,-5.17033,3.52983,-0.0420449,-6.88024,10.6851,135.291,75.2439,871.841,142.369,366.125,366.125,366.125,60.0068,-62.4426,84.2168,39.5234,1128.34,64.0441,86.1017,86.1017,86.1016,-2.56038,-2.9008,2.94666,16.2657,17.6759,66.3913,-1.24845,2.54897,86.8142,220.275,1019.26,1023.27,14.6705,14.6704,14.6704,-4.47211,0,0,-5.42511,-3.04534,34.439,-83.7712,-58.3358,38.4989,357.503,910.015,1464.05,174.907,174.907,174.907,36.6223,1.59028e-015,-3.75305e-013,-15.7841,-6.95594,73.5889,360.169,944.868,496.422,548.193,548.193,548.193,66.6668,-49.1091,74.4468,339.51,1051.7,87.0259,251.256,251.256,251.256,-75.6416,7.24337,7.77306,36.2211,-15.5457,31.7418,498.998,1101.84,779.023,147.707,147.706,147.707,7.00694,-19.8403,-66.0905,474.498,880.964,1130.66,354.508,354.508,354.508,30.4698,-4.29137,-1.51385,-4.7629,-15.1759,-13.7198,6.71817,14.3824,-8.94214,-27.9133,7.40111,-3.62078,2.41184,-0.900754,-3.15092,27.322,12.6151,-60.3344,488.16,1009.74,893.991,250.899,250.899,250.899,-6.2694,16.8559,27.7037,-5.17033,-3.52983,0.0420449,-8.09224,7.08031,62.7808,349.608,883.133,149.051,352.972,352.972,352.972,66.6669,-49.1091,74.4467,328.183,1132.09,66.4473,83.7521,83.7521,83.7521,-2.56038,2.9008,-2.94666,8.2172,6.08081,95.259,130.403,123.723,6.06649,206.231,993.121,1435.72,177.642,177.642,177.642
2,0,0,0,0,0,0,0,27.4011,-20.2234,87.2569,201.011,894.151,1574.67,201.727,201.728,201.728,-2.98519,0,0,-3.94572,-3.35619,40.8152,68.2061,90.0046,86.3579,42.1286,922.123,1459.12,180.374,180.374,180.374,17.976,-3.27995e-015,-5.725e-013,4.50283,19.6065,84.7605,63.5942,933.992,502.984,548.138,548.138,548.138,60.0069,-62.4407,84.2149,46.3826,1044.69,83.2337,258.305,258.305,258.305,-77.0794,8.00845,-4.5666,3.26114,-45.9035,118.549,16.7359,1163.46,748.273,205.676,205.676,205.676,24.0567,-21.3692,188.391,-44.3018,984.859,1154.03,323.242,323.242,323.242,30.4869,4.27144,1.5565,-7.72972,-14.5176,0.0165429,-0.553804,17.6359,-48.7361,-27.9177,-7.4049,3.59471,2.41674,0.901147,3.16511,-5.59796,-23.7058,187.406,-34.5388,1048.23,910.742,233.987,233.987,233.987,7.76373,19.0041,75.0307,-5.18375,3.52923,-0.0490617,-6.87789,10.6869,135.289,75.2465,871.842,142.37,366.116,366.116,366.116,60.0069,-62.4407,84.2149,39.5274,1128.34,64.0425,86.1017,86.1017,86.1016,-2.56752,-2.90235,2.96722,16.2631,17.6824,66.427,-1.25243,2.55272,86.8001,220.307,1019.28,1023.27,14.6705,14.6704,14.6704,-4.47321,0,0,-5.42614,-3.04493,34.4343,-83.7688,-58.3044,38.4775,357.492,910,1464.07,174.905,174.905,174.905,36.6254,2.38542e-015,-1.70478e-012,-15.788,-6.95082,73.59,360.185,944.83,496.418,548.194,548.194,548.194,66.6657,-49.1109,74.4429,339.526,1051.68,87.0283,251.256,251.256,251.256,-75.6426,7.24509,7.76956,36.2352,-15.5427,31.7386,498.976,1101.93,779.107,147.691,147.691,147.691,7.01434,-19.834,-66.1066,474.471,880.989,1130.68,354.502,354.502,354.502,30.4869,-4.27144,-1.5565,-4.75992,-15.1759,-13.7046,6.71062,14.3849,-8.94346,-27.9177,7.4049,-3.59471,2.41674,-0.901147,-3.16511,27.3359,12.622,-60.3469,488.154,1009.82,894.044,250.9,250.9,250.9,-6.264,16.8543,27.7086,-5.18375,-3.52923,0.0490617,-8.08951,7.08094,62.7817,349.614,883.107,149.051,352.967,352.967,352.967,66.6657,-49.1109,74.4429,328.204,1132.07,66.451,83.7521,83.7521,83.7521,-2.56752,2.90235,-2.96722,8.22211,6.06961,95.2674,130.429,123.702,6.07621,206.261,993.193,1435.79,177.639,177.639,177.639
3,0,0,0,0,0,0,0,27.402,-20.2387,87.2094,200.996,894.192,1574.66,201.728,201.728,201.728,-2.98493,0,0,-3.94523,-3.35603,40.8135,68.2145,89.9809,86.3567,42.1365,922.242,1459.16,180.37,180.37,180.37,17.9723,-3.47873e-016,4.91396e-013,4.50409,19.6084,84.7668,63.6108,933.996,502.976,548.144,548.144,548.144,60.007,-62.4389,84.2124,46.3872,1044.69,83.2338,258.305,258.305,258.305,-77.0789,8.00573,-4.56581,3.28432,-45.8951,118.465,16.7582,1163.76,748.337,205.728,205.728,205.728,24.0608,-21.3902,188.338,-44.3081,985.1,1154.11,323.232,323.232,323.232,30.5019,4.25101,1.5986,-7.73021,-14.5169,-0.00516477,-0.55183,17.6351,-48.7265,-27.921,-7.40808,3.56874,2.42123,0.901312,3.17967,-5.57963,-23.7121,187.355,-34.5636,1048.5,910.835,233.979,233.979,233.979,7.77303,19.013,75.0596,-5.19592,3.52853,-0.0555691,-6.87605,10.6888,135.286,75.2495,871.843,142.371,366.108,366.108,366.108,60.007,-62.4389,84.2125,39.5331,1128.34,64.0418,86.1017,86.1017,86.1018,-2.57384,-2.90395,2.98769,16.2601,17.6899,66.4596,-1.25621,2.55609,86.7853,220.337,1019.29,1023.26,14.6704,14.6704,14.6704,-4.47461,0,0,-5.42775,-3.04481,34.433,-83.7673,-58.2742,38.4566,357.482,909.986,1464.1,174.904,174.904,174.904,36.6278,-3.97569e-016,-6.13847e-013,-15.7913,-6.94642,73.588,360.201,944.793,496.415,548.194,548.194,548.194,66.6649,-49.1119,74.4388,339.541,1051.65,87.03,251.256,251.256,251.256,-75.6434,7.24748,7.76645,36.2474,-15.5416,31.7387,498.958,1102.03,779.181,147.68,147.68,147.68,7.02139,-19.8278,-66.1211,474.447,881.014,1130.7,354.499,354.499,354.499,30.5019,-4.25101,-1.5986,-4.75689,-15.1758,-13.6921,6.70402,14.387,-8.94455,-27.921,7.40808,-3.56874,2.42123,-0.901312,-3.17967,27.3485,12.6282,-60.3582,488.148,1009.9,894.093,250.9,250.9,250.9,-6.25797,16.8526,27.7148,-5.19592,-3.52853,0.0555691,-8.08685,7.08106,62.7797,349.62,883.083,149.051,352.962,352.962,352.962,66.6649,-49.1119,74.4388,328.223,1132.05,66.4537,83.7521,83.7521,83.7522,-2.57384,2.90395,-2.98769,8.22613,6.05985,95.2782,130.454,123.682,6.08501,206.29,993.264,1435.86,177.637,177.637,177.637
4,0,0,0,0,0,0,0,27.4009,-20.2528,87.1626,200.982,894.233,1574.66,201.728,201.728,201.728,-2.98411,0,0,-3.94406,-3.35585,40.8115,68.2228,89.9574,86.3543,42.1437,922.362,1459.2,180.367,180.367,180.367,17.97,1.44119e-015,-6.83819e-014,4.50561,19.6101,84.7734,63.6261,934.002,502.968,548.151,548.151,548.151,60.0072,-62.4373,84.2094,46.3931,1044.69,83.2343,258.305,258.305,258.305,-77.0787,8.00272,-4.56471,3.30476,-45.8885,118.385,16.7959,1164.04,748.401,205.775,205.775,205.775,24.064,-21.4093,188.285,-44.3117,985.336,1154.18,323.223,323.223,323.223,30.5148,4.23017,1.64012,-7.73103,-14.5165,-0.0276254,-0.549273,17.6347,-48.7157,-27.923,-7.4107,3.54289,2.42528,0.901251,3.19466,-5.56464,-23.7167,187.303,-34.5763,1048.76,910.923,233.971,233.971,233.971,7.7822,19.0212,75.0889,-5.20679,3.52772,-0.0615285,-6.87471,10.6908,135.283,75.2529,871.842,142.372,366.1,366.1,366.1,60.0072,-62.4373,84.2094,39.5407,1128.34,64.042,86.1017,86.1017,86.1017,-2.57931,-2.9056,3.0081,16.2567,17.6986,66.4892,-1.25999,2.55877,86.7702,220.365,1019.3,1023.25,14.6704,14.6704,14.6704,-4.47626,0,0,-5.42991,-3.04499,34.435,-83.7668,-58.245,38.4366,357.473,909.974,1464.12,174.902,174.903,174.902,36.6294,-3.97569e-016,3.41274e-012,-15.7942,-6.94273,73.5828,360.216,944.757,496.413,548.193,548.193,548.193,66.6645,-49.1121,74.4345,339.555,1051.63,87.031,251.256,251.256,251.256,-75.6441,7.25049,7.76373,36.2574,-15.5425,31.742,498.943,1102.12,779.245,147.675,147.675,147.675,7.02804,-19.8219,-66.1341,474.425,881.039,1130.72,354.498,354.498,354.498,30.5148,-4.23017,-1.64012,-4.75384,-15.1756,-13.6824,6.69838,14.3886,-8.94526,-27.923,7.4107,-3.54289,2.42528,-0.901251,-3.19466,27.3599,12.6339,-60.3684,488.142,1009.97,894.137,250.9,250.9,250.9,-6.25131,16.8509,27.7222,-5.20679,-3.52772,0.0615285,-8.08424,7.08071,62.7747,349.626,883.062,149.051,352.958,352.958,352.958,66.6645,-49.1122,74.4344,328.241,1132.03,66.4555,83.7521,83.7521,83.7521,-2.57931,2.9056,-3.0081,8.22895,6.05168,95.2915,130.478,123.66,6.09292,206.32,993.333,1435.93,177.634,177.635,177.635
5,0,0,0,0,0,0,0,27.3977,-20.2658,87.1165,200.968,894.275,1574.66,201.727,201.728,201.728,-2.98278,0,0,-3.94212,-3.3556,40.8088,68.2311,89.9343,86.3505,42.1501,922.483,1459.23,180.363,180.363,180.363,17.9692,2.98177e-016,-4.99347e-013,4.50736,19.6117,84.7801,63.6399,934.008,502.96,548.157,548.157,548.157,60.0075,-62.4358,84.2058,46.4001,1044.69,83.2355,258.305,258.305,258.305,-77.0788,7.99934,-4.56334,3.32218,-45.8833,118.308,16.849,1164.32,748.466,205.815,205.815,205.815,24.0661,-21.4267,188.232,-44.3125,985.567,1154.25,323.215,323.215,323.215,30.5255,4.20885,1.68108,-7.73212,-14.5161,-0.0506733,-0.546179,17.6346,-48.7037,-27.9238,-7.4127,3.51714,2.42895,0.900975,3.21002,-5.55306,-23.7198,187.251,-34.5771,1049.01,911.005,233.963,233.963,233.963,7.7912,19.0288,75.1179,-5.21642,3.52682,-0.0669738,-6.87389,10.6928,135.278,75.2567,871.84,142.372,366.093,366.093,366.093,60.0075,-62.4358,84.2059,39.5497,1128.34,64.0432,86.1017,86.1017,86.1018,-2.58395,-2.9073,3.02842,16.2532,17.7079,66.5162,-1.26341,2.56118,86.7549,220.393,1019.31,1023.25,14.6703,14.6704,14.6703,-4.47824,0,0,-5.43262,-3.04544,34.4402,-83.7671,-58.2169,38.4174,357.464,909.963,1464.15,174.901,174.902,174.901,36.6305,-1.19271e-015,-8.90555e-014,-15.7965,-6.93973,73.5744,360.231,944.723,496.412,548.191,548.191,548.191,66.6645,-49.1116,74.4299,339.568,1051.62,87.0313,251.256,251.256,251.256,-75.6448,7.25412,7.7614,36.2654,-15.5457,31.7476,498.933,1102.2,779.299,147.675,147.675,147.675,7.03421,-19.8161,-66.1458,474.404,881.065,1130.74,354.5,354.5,354.5,30.5255,-4.20885,-1.68108,-4.75076,-15.1753,-13.6754,6.69363,14.3897,-8.94553,-27.9238,7.4127,-3.51714,2.42895,-0.900975,-3.21002,27.37,12.639,-60.3776,488.136,1010.04,894.178,250.899,250.899,250.899,-6.24413,16.849,27.7306,-5.21642,-3.52682,0.0669738,-8.08169,7.07987,62.7669,349.633,883.044,149.05,352.954,352.954,352.954,66.6645,-49.1116,74.4299,328.257,1132.01,66.4566,83.7522,83.7521,83.7521,-2.58395,2.9073,-3.02842,8.23068,6.04555,95.3067,130.502,123.639,6.10001,206.349,993.401,1435.99,177.632,177.632,177.632
6,0,0,0,0,0,0,0,27.3924,-20.2775,87.071,200.954,894.318,1574.66,201.728,201.728,201.728,-2.98088,0,0,-3.93943,-3.35529,40.8054,68.2394,89.9115,86.3454,42.1559,922.604,1459.27,180.359,180.359,180.359,17.9697,2.28602e-015,1.7016e-013,4.50933,19.6132,84.7869,63.6522,934.015,502.952,548.163,548.163,548.163,60.0081,-62.4344,84.2018,46.4079,1044.68,83.2374,258.305,258.305,258.305,-77.0792,7.99559,-4.56179,3.33635,-45.8795,118.234,16.9175,1164.58,748.532,205.85,205.85,205.85,24.0673,-21.4423,188.18,-44.3105,985.794,1154.32,323.208,323.208,323.208,30.5341,4.18715,1.72147,-7.73344,-14.516,-0.0740666,-0.542622,17.6349,-48.6907,-27.9233,-7.41414,3.49151,2.43225,0.900498,3.22572,-5.5448,-23.7215,187.2,-34.5662,1049.25,911.082,233.955,233.955,233.955,7.80001,19.0357,75.1466,-5.22487,3.52582,-0.0719415,-6.87355,10.6949,135.273,75.2608,871.837,142.372,366.086,366.086,366.086,60.0081,-62.4344,84.2017,39.5599,1128.34,64.0456,86.1017,86.1017,86.1016,-2.58777,-2.90904,3.04865,16.2495,17.7177,66.5402,-1.26665,2.56298,86.7391,220.419,1019.32,1023.24,14.6705,14.6704,14.6703,-4.48046,0,0,-5.43584,-3.04615,34.4482,-83.7684,-58.1899,38.3989,357.455,909.953,1464.17,174.901,174.901,174.901,36.6309,-7.95139e-016,-6.36111e-014,-15.7983,-6.93739,73.5629,360.245,944.691,496.411,548.188,548.188,548.188,66.6648,-49.1105,74.4251,339.58,1051.6,87.031,251.256,251.256,251.256,-75.6453,7.25826,7.75944,36.2715,-15.5512,31.7549,498.929,1102.28,779.345,147.68,147.68,147.68,7.03987,-19.8106,-66.1565,474.385,881.089,1130.75,354.504,354.504,354.504,30.5341,-4.18715,-1.72147,-4.74763,-15.175,-13.6711,6.68976,14.3904,-8.94513,-27.9233,7.41414,-3.49151,2.43225,-0.900498,-3.22572,27.3791,12.6435,-60.3861,488.13,1010.1,894.216,250.898,250.898,250.898,-6.23657,16.8471,27.7397,-5.22487,-3.52582,0.0719415,-8.07916,7.07854,62.7567,349.64,883.028,149.049,352.952,352.952,352.952,66.6647,-49.1105,74.425,328.272,1131.99,66.457,83.7521,83.7521,83.7521,-2.58777,2.90904,-3.04865,8.23135,6.04152,95.3235,130.526,123.617,6.10623,206.377,993.468,1436.05,177.63,177.63,177.63
7,0,0,0,0,0,0,0,27.385,-20.288,87.0262,200.94,894.361,1574.66,201.728,201.728,201.727,-2.97848,0,0,-3.936,-3.3549,40.8012,68.2478,89.8888,86.339,42.1609,922.726,1459.3,180.354,180.354,180.354,17.9716,2.03754e-015,-2.09917e-013,4.51143,19.6145,84.7935,63.6631,934.022,502.945,548.168,548.168,548.168,60.0089,-62.4331,84.1971,46.4161,1044.68,83.2401,258.305,258.305,258.305,-77.0798,7.99143,-4.56013,3.34692,-45.8766,118.164,17.0012,1164.83,748.598,205.877,205.877,205.877,24.0673,-21.4563,188.129,-44.3056,986.015,1154.38,323.202,323.202,323.202,30.5404,4.16503,1.76128,-7.73497,-14.516,-0.0975577,-0.538729,17.6354,-48.6767,-27.9213,-7.415,3.46598,2.43526,0.899833,3.24173,-5.5399,-23.722,187.15,-34.5438,1049.48,911.153,233.948,233.948,233.948,7.80859,19.0418,75.1746,-5.23225,3.52473,-0.0764407,-6.8737,10.697,135.266,75.2651,871.834,142.372,366.081,366.081,366.081,60.0089,-62.4331,84.1972,39.5706,1128.34,64.0493,86.1017,86.1017,86.1017,-2.59085,-2.91081,3.06877,16.2459,17.7272,66.5618,-1.26985,2.56445,86.723,220.444,1019.33,1023.23,14.6704,14.6704,14.6705,-4.48294,0,0,-5.43956,-3.04709,34.459,-83.7705,-58.1639,38.3811,357.448,909.945,1464.2,174.9,174.9,174.9,36.6309,-1.19271e-015,-3.27597e-013,-15.7997,-6.93569,73.5482,360.258,944.659,496.411,548.185,548.185,548.185,66.6655,-49.1088,74.4202,339.591,1051.59,87.0302,251.256,251.256,251.256,-75.6459,7.26287,7.75786,36.276,-15.5585,31.7627,498.93,1102.35,779.384,147.687,147.687,147.687,7.04493,-19.8053,-66.1665,474.366,881.111,1130.77,354.509,354.509,354.509,30.5404,-4.16503,-1.76128,-4.74445,-15.1746,-13.6697,6.68668,14.3906,-8.94381,-27.9213,7.415,-3.46598,2.43526,-0.899833,-3.24173,27.3871,12.6474,-60.3943,488.124,1010.15,894.25,250.896,250.896,250.896,-6.22887,16.8449,27.7491,-5.23225,-3.52473,0.0764407,-8.07664,7.0767,62.7441,349.648,883.015,149.048,352.95,352.95,352.95,66.6654,-49.1087,74.4202,328.286,1131.98,66.4569,83.7521,83.7521,83.7521,-2.59085,2.91081,-3.06877,8.23106,6.03933,95.3409,130.549,123.595,6.11163,206.405,993.533,1436.11,177.627,177.627,177.627
8,0,0,0,0,0,0,0,27.3755,-20.2972,86.9822,200.927,894.405,1574.67,201.727,201.728,201.727,-2.97556,0,0,-3.93184,-3.35442,40.7959,68.2561,89.8663,86.3313,42.1651,922.848,1459.33,180.35,180.35,180.35,17.9746,-3.47873e-016,-2.22639e-013,4.51358,19.6156,84.7996,63.6726,934.03,502.938,548.173,548.173,548.173,60.01,-62.4318,84.1921,46.4244,1044.68,83.2439,258.305,258.305,258.305,-77.0808,7.98685,-4.55842,3.35396,-45.8746,118.097,17.0998,1165.06,748.664,205.898,205.898,205.898,24.0663,-21.4688,188.08,-44.2976,986.231,1154.43,323.197,323.197,323.197,30.5445,4.14257,1.80051,-7.73661,-14.5162,-0.120716,-0.534657,17.6362,-48.6623,-27.9179,-7.4153,3.44056,2.43802,0.89898,3.25797,-5.5383,-23.7216,187.101,-34.5102,1049.71,911.22,233.941,233.941,233.941,7.8169,19.0471,75.2015,-5.23861,3.52354,-0.0805543,-6.87427,10.699,135.259,75.2695,871.829,142.372,366.076,366.076,366.076,60.01,-62.4317,84.192,39.5814,1128.34,64.0544,86.1017,86.1017,86.1016,-2.59316,-2.91259,3.08877,16.2425,17.7362,66.5811,-1.27306,2.56543,86.7068,220.468,1019.34,1023.23,14.6705,14.6704,14.6705,-4.4856,0,0,-5.44366,-3.04822,34.4719,-83.7734,-58.139,38.3642,357.441,909.937,1464.23,174.9,174.9,174.9,36.6306,3.97569e-016,1.39944e-013,-15.8006,-6.93458,73.5305,360.27,944.629,496.412,548.181,548.181,548.181,66.6665,-49.1066,74.4153,339.602,1051.58,87.0292,251.256,251.256,251.256,-75.6464,7.26778,7.75663,36.2791,-15.5674,31.77,498.935,1102.41,779.421,147.695,147.695,147.695,7.04922,-19.8003,-66.1765,474.346,881.13,1130.78,354.514,354.513,354.514,30.5445,-4.14257,-1.80051,-4.74119,-15.174,-13.6711,6.68432,14.3902,-8.94118,-27.9179,7.4153,-3.44056,2.43802,-0.89898,-3.25797,27.3943,12.6508,-60.4027,488.118,1010.2,894.283,250.894,250.894,250.894,-6.22121,16.8427,27.7584,-5.23861,-3.52354,0.0805543,-8.0741,7.07438,62.7298,349.656,883.004,149.047,352.949,352.949,352.949,66.6665,-49.1067,74.4153,328.298,1131.97,66.4566,83.7521,83.7521,83.7522,-2.59316,2.91259,-3.08877,8.23006,6.03883,95.3584,130.571,123.573,6.11626,206.433,993.596,1436.16,177.625,177.625,177.625
9,0,0,0,0,0,0,0,27.3639,-20.3051,86.939,200.913,894.448,1574.67,201.728,201.728,201.727,-2.97219,0,0,-3.92701,-3.35383,40.7895,68.2647,89.8438,86.3223,42.1686,922.971,1459.36,180.345,180.345,180.345,17.9787,1.73937e-015,4.77083e-014,4.51568,19.6167,84.8048,63.6807,934.037,502.931,548.178,548.178,548.178,60.0116,-62.4304,84.1865,46.4325,1044.68,83.2486,258.305,258.305,258.305,-77.0821,7.98184,-4.55673,3.3575,-45.8734,118.034,17.2125,1165.28,748.73,205.913,205.913,205.913,24.064,-21.4799,188.033,-44.2863,986.443,1154.48,323.193,323.193,323.193,30.5462,4.11976,1.83914,-7.73838,-14.5166,-0.143171,-0.53057,17.6372,-48.6475,-27.9129,-7.41505,3.41524,2.44057,0.897961,3.27432,-5.53987,-23.7203,187.053,-34.4657,1049.93,911.281,233.934,233.934,233.934,7.82485,19.0516,75.2271,-5.24409,3.52226,-0.0843608,-6.87523,10.7011,135.251,75.2739,871.823,142.371,366.071,366.071,366.071,60.0116,-62.4304,84.1865,39.592,1128.33,64.0611,86.1017,86.1017,86.1017,-2.59482,-2.9144,3.10862,16.2392,17.7445,66.5982,-1.2761,2.56634,86.6903,220.49,1019.34,1023.22,14.6704,14.6704,14.6704,-4.48852,0,0,-5.44815,-3.0495,34.4865,-83.7771,-58.1152,38.3479,357.434,909.931,1464.25,174.899,174.899,174.899,36.6303,-1.19271e-015,2.71301e-012,-15.8011,-6.93402,73.5097,360.281,944.599,496.412,548.177,548.177,548.177,66.6679,-49.1042,74.4104,339.611,1051.57,87.028,251.256,251.256,251.256,-75.647,7.27292,7.75573,36.2812,-15.5774,31.776,498.945,1102.46,779.456,147.702,147.702,147.702,7.05267,-19.7957,-66.1868,474.326,881.144,1130.8,354.517,354.517,354.517,30.5462,-4.11976,-1.83914,-4.73792,-15.1734,-13.6754,6.68259,14.3894,-8.93687,-27.9129,7.41505,-3.41524,2.44057,-0.897961,-3.27432,27.4007,12.6537,-60.4116,488.112,1010.23,894.315,250.893,250.893,250.893,-6.21391,16.8402,27.7672,-5.24409,-3.52226,0.0843608,-8.07148,7.07158,62.7141,349.664,882.995,149.045,352.947,352.947,352.947,66.6679,-49.1042,74.4104,328.309,1131.96,66.4561,83.7521,83.7521,83.7521,-2.59482,2.9144,-3.10862,8.22856,6.03977,95.3755,130.593,123.55,6.12012,206.46,993.658,1436.21,177.622,177.622,177.622
